snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260327,2026-03-27 00:22:56 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,draftkings,DraftKings,2026-03-27T04:22:56Z,h2h,2026-03-27T04:22:56Z,-205,170,
20260327,2026-03-27 00:22:56 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,fanduel,FanDuel,2026-03-27T04:22:42Z,h2h,2026-03-27T04:22:42Z,-215,172,
20260327,2026-03-27 00:22:56 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betrivers,BetRivers,2026-03-27T04:22:43Z,h2h,2026-03-27T04:22:43Z,-245,180,
20260327,2026-03-27 00:22:56 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betmgm,BetMGM,2026-03-27T04:22:10Z,h2h,2026-03-27T04:22:10Z,-225,185,
20260327,2026-03-27 00:22:56 EDT,dd316675d9b1d54fe3f465a1fbc7ee24,basketball_wncaab,WNCAAB,2026-03-27T21:00:00Z,UConn Huskies,North Carolina Tar Heels,draftkings,DraftKings,2026-03-27T04:22:56Z,h2h,2026-03-27T04:22:56Z,-100000,5000,
20260327,2026-03-27 00:22:56 EDT,dd316675d9b1d54fe3f465a1fbc7ee24,basketball_wncaab,WNCAAB,2026-03-27T21:00:00Z,UConn Huskies,North Carolina Tar Heels,fanduel,FanDuel,2026-03-27T04:22:42Z,h2h,2026-03-27T04:22:42Z,-100000,5500,
20260327,2026-03-27 00:22:56 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,draftkings,DraftKings,2026-03-27T04:22:56Z,h2h,2026-03-27T04:22:56Z,-3600,1500,
20260327,2026-03-27 00:22:56 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,fanduel,FanDuel,2026-03-27T04:22:42Z,h2h,2026-03-27T04:22:42Z,-5000,1500,
20260327,2026-03-27 00:22:56 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,betrivers,BetRivers,2026-03-27T04:22:43Z,h2h,2026-03-27T04:22:43Z,-10000,1200,
20260327,2026-03-27 00:22:56 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,betmgm,BetMGM,2026-03-27T04:22:10Z,h2h,2026-03-27T04:22:10Z,-5000,1400,
20260327,2026-03-27 00:22:56 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,draftkings,DraftKings,2026-03-27T04:22:56Z,h2h,2026-03-27T04:22:56Z,-425,330,
20260327,2026-03-27 00:22:56 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betrivers,BetRivers,2026-03-27T04:22:43Z,h2h,2026-03-27T04:22:43Z,-455,295,
20260327,2026-03-27 00:22:56 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,fanduel,FanDuel,2026-03-27T04:22:42Z,h2h,2026-03-27T04:22:42Z,-500,350,
20260327,2026-03-27 00:22:56 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betmgm,BetMGM,2026-03-27T04:22:10Z,h2h,2026-03-27T04:22:10Z,-425,320,
